K,val_rmse
1,1.0547643365845778
2,0.9966340198538386
4,0.9929300355854044
6,0.8100378791508492
8,0.793276196108492
10,0.752359891822702
12,0.7028135619787054
14,0.6884371756871481
16,0.7499914219302923
18,0.6909418929125629
20,0.7313350740494281
22,0.680073044607574
24,0.6842975910151539
26,0.6942269961501538
28,0.6632399288260081
30,0.6383531529326256
32,0.6966403010631678
34,0.6759966937179142
36,0.6740519270282463
38,0.6755201450021633
40,0.6939452059983027
42,0.7013848193449823
44,0.7072751895392065
46,0.7414303008758969
48,0.734364999229941
50,0.7424999479025921
