n_estimators,max_depth,learning_rate,val_rmse,val_acc
200,3,0.1,0.6383531529326256,0.43441454113484046
300,3,0.1,0.6450800262084926,0.4158798449072887
500,3,0.1,0.6457108526185701,0.4115367108815956
100,3,0.1,0.6595451841055278,0.4067898386435078
200,3,0.2,0.6700619759919402,0.37933233909005704
300,3,0.2,0.6715329263951657,0.3677036744304323
500,3,0.05,0.6737917397311077,0.3664234172950053
100,3,0.2,0.6745854239797522,0.40116043581503025
500,3,0.2,0.6747866779731231,0.35876707924699197
300,3,0.05,0.6861526492371388,0.3635088165555883
500,3,0.01,0.6921006139036887,0.3862435364695719
200,3,0.05,0.6932992433059483,0.35835050455313905
300,3,0.01,0.6954086483121013,0.39923149379162703
100,3,0.01,0.6961573248767856,0.4227543976757149
200,3,0.01,0.6969653079789717,0.41206302399851713
100,4,0.1,0.69697031923363,0.347476677024038
300,4,0.1,0.6985957831033327,0.34332317347844604
200,4,0.1,0.7006544960904652,0.33933357186123514
100,3,0.05,0.7013572004338611,0.35124553713601125
500,5,0.1,0.7021569466899147,0.34121327250985356
500,4,0.1,0.7029363005097181,0.3340355169589277
300,5,0.1,0.7041246688861011,0.34363027470089225
500,4,0.05,0.7072576061532099,0.3559019394591528
200,5,0.1,0.7086574737375854,0.34564681207735426
300,4,0.05,0.7147730916167684,0.3425939178262979
500,6,0.05,0.7168768438643617,0.3164854449798221
200,4,0.2,0.7181959935339801,0.3282210669516793
500,4,0.2,0.7190614522816968,0.319725356266091
100,5,0.1,0.7193948582405316,0.3373607776369703
300,6,0.05,0.7195201602273728,0.3266860450279395
200,4,0.05,0.7199511620642399,0.33353198324237887
300,4,0.2,0.7210241958438878,0.3217118023475731
500,6,0.1,0.7221285258023891,0.30624653169783284
500,5,0.05,0.7226471864726594,0.3223505029723767
300,6,0.1,0.7233766974313097,0.30739537152567575
200,6,0.1,0.7251037333136391,0.3139335586140627
200,6,0.05,0.7266221922979607,0.32398806016665965
100,6,0.1,0.7276133421219588,0.30826307589737917
300,5,0.05,0.7278041218765112,0.3283297840932981
100,4,0.01,0.7287150383160389,0.34776872606617965
100,4,0.2,0.7310511087370966,0.3226497967696461
200,5,0.05,0.731594169367396,0.326778915233394
500,5,0.01,0.7316833156236516,0.33551474240632456
100,6,0.05,0.7318040616706635,0.32975455608600696
100,5,0.01,0.7322960242392086,0.3351962130443183
500,4,0.01,0.7326669669193765,0.3397653430754944
100,4,0.05,0.7327419403855471,0.34289946104454333
100,6,0.01,0.7419969056338229,0.29404288707233944
200,4,0.01,0.7423972941572743,0.3240929653159656
500,6,0.01,0.7447923116553566,0.33231718166579827
100,5,0.05,0.7454653664280703,0.3165068467216663
300,4,0.01,0.7456325068976647,0.3265593631479079
200,5,0.01,0.7466537620187865,0.32343022093433693
300,5,0.01,0.7490865403970897,0.30808948739367553
300,6,0.01,0.7585421266903597,0.3091481587750757
200,6,0.01,0.7612290065269189,0.3208120904880108
500,6,0.2,0.7671651245269518,0.2301716006043175
200,6,0.2,0.7675393811324294,0.22927309453380632
300,6,0.2,0.7676645954894723,0.22922995362481505
100,6,0.2,0.7721344670990963,0.2348970195263851
300,5,0.2,0.7729144855329689,0.2040833186376857
500,5,0.2,0.7729858554379808,0.20369203693513874
200,5,0.2,0.7750881755172792,0.20634798273090812
100,5,0.2,0.7780811309777305,0.21489273323275646
